datetime,month,year,position,mean,sd
2017-09-24T00:00:00Z,9,2017,1m,23.640694444444446,0.1426504985065415
2017-09-24T00:00:00Z,9,2017,surface,23.71,0.16858107966073904
2017-09-25T00:00:00Z,9,2017,0m,23.666666666666668,0.16676267630914962
2017-09-25T00:00:00Z,9,2017,1m,23.67152777777778,0.1998262162618224
2017-09-25T00:00:00Z,9,2017,surface,23.785694444444445,0.2748544504278017
2017-09-26T00:00:00Z,9,2017,0m,23.75888888888889,0.12085425025935072
2017-09-26T00:00:00Z,9,2017,1m,23.77486111111111,0.17286959437361063
2017-09-26T00:00:00Z,9,2017,surface,24.016805555555557,0.37048947547460953
2017-09-27T00:00:00Z,9,2017,0m,23.890694444444446,0.2056259513218889
2017-09-27T00:00:00Z,9,2017,1m,23.903472222222224,0.2263400481682756
2017-09-27T00:00:00Z,9,2017,surface,24.03902777777778,0.1848731163611117
2017-09-28T00:00:00Z,9,2017,0m,24.00722222222222,0.07526591037752242
2017-09-28T00:00:00Z,9,2017,1m,23.978472222222223,0.07301996512540448
2017-09-28T00:00:00Z,9,2017,surface,23.970416666666665,0.12522357627836728
2017-09-29T00:00:00Z,9,2017,0m,23.661944444444444,0.19063852140384954
2017-09-29T00:00:00Z,9,2017,1m,23.592083333333335,0.16315454512334532
2017-09-29T00:00:00Z,9,2017,surface,23.64263888888889,0.20951154018355533
2017-09-30T00:00:00Z,9,2017,0m,23.485555555555557,0.2482322896386964
2017-09-30T00:00:00Z,9,2017,1m,23.48236111111111,0.2197073263373556
2017-09-30T00:00:00Z,9,2017,surface,23.51625,0.24903695628240735
2017-10-01T00:00:00Z,10,2017,0m,23.603055555555557,0.12240753769112928
2017-10-01T00:00:00Z,10,2017,1m,23.61277777777778,0.0898051071206821
2017-10-01T00:00:00Z,10,2017,surface,23.655,0.09471340649891878
2017-10-02T00:00:00Z,10,2017,0m,23.721666666666668,0.20585146386369269
2017-10-02T00:00:00Z,10,2017,1m,23.722083333333334,0.1613009826163715
2017-10-02T00:00:00Z,10,2017,surface,23.72361111111111,0.12483617858646362
2017-10-03T00:00:00Z,10,2017,0m,23.96361111111111,0.09439250822997368
2017-10-03T00:00:00Z,10,2017,1m,23.926805555555557,0.10646679628024257
2017-10-03T00:00:00Z,10,2017,surface,23.85597222222222,0.2554642543233501
2017-10-04T00:00:00Z,10,2017,0m,23.775833333333335,0.20323089628006177
2017-10-04T00:00:00Z,10,2017,1m,23.672777777777778,0.18184156803755266
2017-10-04T00:00:00Z,10,2017,surface,23.494305555555556,0.214086619871679
2017-10-05T00:00:00Z,10,2017,0m,23.116944444444446,0.18497884126886435
2017-10-05T00:00:00Z,10,2017,1m,23.074305555555554,0.17415792518855658
2017-10-05T00:00:00Z,10,2017,surface,23.025416666666665,0.14584633641663355
2017-10-06T00:00:00Z,10,2017,0m,23.522222222222222,0.21199170205572146
2017-10-06T00:00:00Z,10,2017,1m,23.422916666666666,0.24595148478334672
2017-10-06T00:00:00Z,10,2017,surface,23.15972222222222,0.2160029281219704
2017-10-07T00:00:00Z,10,2017,0m,24.010833333333334,0.25830945825458324
2017-10-07T00:00:00Z,10,2017,1m,23.934583333333332,0.30166177280992235
2017-10-07T00:00:00Z,10,2017,surface,23.917916666666667,0.5252596760391258
2017-10-08T00:00:00Z,10,2017,0m,24.279583333333335,0.2648284178654
2017-10-08T00:00:00Z,10,2017,1m,24.281944444444445,0.3262014431411693
2017-10-08T00:00:00Z,10,2017,surface,24.385,0.507259192239912
2017-10-09T00:00:00Z,10,2017,0m,24.30152777777778,0.12448674737477199
2017-10-09T00:00:00Z,10,2017,1m,24.36777777777778,0.31086714821348344
2017-10-09T00:00:00Z,10,2017,surface,24.79111111111111,0.54338888843211
2017-10-10T00:00:00Z,10,2017,0m,24.317916666666665,0.08699228323625816
2017-10-10T00:00:00Z,10,2017,1m,24.3175,0.1157493071162939
2017-10-10T00:00:00Z,10,2017,surface,24.99888888888889,0.7445758271614533
2017-10-11T00:00:00Z,10,2017,0m,24.406111111111112,0.1333228434101995
2017-10-11T00:00:00Z,10,2017,1m,24.458333333333332,0.2379222415138884
2017-10-11T00:00:00Z,10,2017,surface,24.82638888888889,0.4251245989482668
2017-10-12T00:00:00Z,10,2017,0m,24.523611111111112,0.17936411032166963
2017-10-12T00:00:00Z,10,2017,1m,24.560555555555556,0.17467563456755286
2017-10-12T00:00:00Z,10,2017,surface,24.767083333333332,0.16223041112475267
2017-10-13T00:00:00Z,10,2017,0m,23.850277777777777,0.2692957519535019
2017-10-13T00:00:00Z,10,2017,1m,23.81763888888889,0.26784294038641515
2017-10-13T00:00:00Z,10,2017,surface,23.817916666666665,0.2650527721567388
2017-10-14T00:00:00Z,10,2017,0m,22.995555555555555,0.16101851423659927
2017-10-14T00:00:00Z,10,2017,1m,22.965555555555557,0.16117478579886996
2017-10-14T00:00:00Z,10,2017,surface,22.98097222222222,0.161796381767545
2017-10-15T00:00:00Z,10,2017,0m,22.561805555555555,0.2543926065957857
2017-10-15T00:00:00Z,10,2017,1m,22.516111111111112,0.26129615357995567
2017-10-15T00:00:00Z,10,2017,surface,22.464305555555555,0.2823692290377646
2017-10-16T00:00:00Z,10,2017,0m,22.063472222222224,0.14478978948490503
2017-10-16T00:00:00Z,10,2017,1m,22.011805555555554,0.15095802583276427
2017-10-16T00:00:00Z,10,2017,surface,21.861666666666668,0.16685490535360195
2017-10-17T00:00:00Z,10,2017,0m,21.92625,0.16368943389611548
2017-10-17T00:00:00Z,10,2017,1m,21.86541666666667,0.16080599004255533
2017-10-17T00:00:00Z,10,2017,surface,21.82375,0.14622463320741597
2017-10-18T00:00:00Z,10,2017,0m,21.595694444444444,0.19651741600706715
2017-10-18T00:00:00Z,10,2017,1m,21.54125,0.1971860610117831
2017-10-18T00:00:00Z,10,2017,surface,21.478472222222223,0.13188424382182182
2017-10-19T00:00:00Z,10,2017,0m,21.74597222222222,0.1448042780558604
2017-10-19T00:00:00Z,10,2017,1m,21.711388888888887,0.14550904670460407
2017-10-19T00:00:00Z,10,2017,surface,21.704583333333332,0.14322399201290195
2017-11-01T00:00:00Z,11,2017,0m,21.170694444444443,0.35108553492853134
2017-11-01T00:00:00Z,11,2017,1m,21.184305555555557,0.35896637312129553
2017-11-01T00:00:00Z,11,2017,surface,21.26527777777778,0.35834886397742144
2017-11-02T00:00:00Z,11,2017,0m,21.68111111111111,0.37267340941563026
2017-11-02T00:00:00Z,11,2017,1m,21.702361111111113,0.33941534699800735
2017-11-02T00:00:00Z,11,2017,surface,21.78013888888889,0.3076506649170964
2017-11-03T00:00:00Z,11,2017,0m,21.676944444444445,0.14782941301897704
2017-11-03T00:00:00Z,11,2017,1m,21.662222222222223,0.14138399056976983
2017-11-03T00:00:00Z,11,2017,surface,21.75402777777778,0.16322072851205602
2017-11-04T00:00:00Z,11,2017,0m,20.95986111111111,0.265440618281607
2017-11-04T00:00:00Z,11,2017,1m,20.940694444444443,0.27348477099999535
2017-11-04T00:00:00Z,11,2017,surface,20.962222222222223,0.2905996800551817
2017-11-05T00:00:00Z,11,2017,0m,21.07611111111111,0.388594582831194
2017-11-05T00:00:00Z,11,2017,1m,21.070416666666667,0.38689706081118747
2017-11-05T00:00:00Z,11,2017,surface,21.111527777777777,0.3975771367201334
2017-11-06T00:00:00Z,11,2017,0m,21.33,0.37169805024971636
2017-11-06T00:00:00Z,11,2017,1m,21.356527777777778,0.3663872372430673
2017-11-06T00:00:00Z,11,2017,surface,21.460555555555555,0.41988306360436484
2017-11-07T00:00:00Z,11,2017,0m,21.53152777777778,0.1729316104138914
2017-11-07T00:00:00Z,11,2017,1m,21.54486111111111,0.15838779581045315
2017-11-07T00:00:00Z,11,2017,surface,21.593194444444446,0.16012518170192283
2017-11-08T00:00:00Z,11,2017,0m,21.62152777777778,0.10236585589818759
2017-11-08T00:00:00Z,11,2017,1m,21.6175,0.09865883859830514
2017-11-08T00:00:00Z,11,2017,surface,21.638194444444444,0.08352088451841327
2017-11-09T00:00:00Z,11,2017,0m,21.314583333333335,0.19409778733656663
2017-11-09T00:00:00Z,11,2017,1m,21.303472222222222,0.19056529613266965
2017-11-09T00:00:00Z,11,2017,surface,21.314444444444444,0.18827809285373653
2017-11-10T00:00:00Z,11,2017,0m,21.30527777777778,0.1868994136732131
2017-11-10T00:00:00Z,11,2017,1m,21.29875,0.17536724702369985
2017-11-10T00:00:00Z,11,2017,surface,21.3525,0.18136814933831558
2017-11-11T00:00:00Z,11,2017,0m,20.856527777777778,0.26683673918118045
2017-11-11T00:00:00Z,11,2017,1m,20.83125,0.2493708867547276
2017-11-11T00:00:00Z,11,2017,surface,20.837777777777777,0.2535908395591487
2017-11-12T00:00:00Z,11,2017,0m,20.770833333333332,0.21618271215563234
2017-11-12T00:00:00Z,11,2017,1m,20.781111111111112,0.18686636005187351
2017-11-12T00:00:00Z,11,2017,surface,20.814305555555556,0.17396508281505818
2017-11-13T00:00:00Z,11,2017,0m,21.026527777777776,0.29443158333466424
2017-11-13T00:00:00Z,11,2017,1m,21.01375,0.2821145802039241
2017-11-13T00:00:00Z,11,2017,surface,21.059305555555554,0.2699226845473639
2017-11-14T00:00:00Z,11,2017,0m,20.946944444444444,0.1386310582754466
2017-11-14T00:00:00Z,11,2017,1m,20.922916666666666,0.13763169154479815
2017-11-14T00:00:00Z,11,2017,surface,20.950833333333332,0.1378734597705118
2017-11-15T00:00:00Z,11,2017,0m,20.454444444444444,0.08646740586262712
2017-11-15T00:00:00Z,11,2017,1m,20.443333333333335,0.08080019386530785
2017-11-15T00:00:00Z,11,2017,surface,20.471527777777776,0.09301717597946645
2017-11-16T00:00:00Z,11,2017,0m,20.11513888888889,0.10151982211013906
2017-11-16T00:00:00Z,11,2017,1m,20.142500000000002,0.12369316876852976
2017-11-16T00:00:00Z,11,2017,surface,20.178194444444443,0.14566775481929722
2017-11-17T00:00:00Z,11,2017,0m,20.297083333333333,0.15935128542886678
2017-11-17T00:00:00Z,11,2017,1m,20.32208333333333,0.1657822103204719
2017-11-17T00:00:00Z,11,2017,surface,20.38513888888889,0.1724808132072401
2017-11-20T00:00:00Z,11,2017,0m,19.088194444444444,0.16720513249465832
2017-11-20T00:00:00Z,11,2017,1m,19.173333333333332,0.11778847937776372
2017-11-20T00:00:00Z,11,2017,surface,19.226805555555554,0.1217853940613661
2017-11-21T00:00:00Z,11,2017,0m,19.314027777777778,0.2685165657387754
2017-11-21T00:00:00Z,11,2017,1m,19.42013888888889,0.2329320141850906
2017-11-21T00:00:00Z,11,2017,surface,19.50638888888889,0.22965651186524946
2017-11-22T00:00:00Z,11,2017,0m,19.488055555555555,0.13995642567528344
2017-11-22T00:00:00Z,11,2017,1m,19.53902777777778,0.10780271701782775
2017-11-22T00:00:00Z,11,2017,surface,19.605,0.1066069179980122
2017-11-23T00:00:00Z,11,2017,0m,18.845,0.2042280365402628
2017-11-23T00:00:00Z,11,2017,1m,18.83625,0.18890880990980394
2017-11-23T00:00:00Z,11,2017,surface,18.87013888888889,0.1949717071499518
2017-11-24T00:00:00Z,11,2017,0m,18.475555555555555,0.14533192189387537
2017-11-24T00:00:00Z,11,2017,1m,18.538333333333334,0.10158189365669955
2017-11-24T00:00:00Z,11,2017,surface,18.575555555555557,0.10660546029507215
2017-11-25T00:00:00Z,11,2017,0m,18.50402777777778,0.20077583591143694
2017-11-25T00:00:00Z,11,2017,1m,18.62625,0.15499999999999994
2017-11-25T00:00:00Z,11,2017,surface,18.68027777777778,0.16854766064325535
2017-11-26T00:00:00Z,11,2017,0m,18.793055555555554,0.1496348832679008
